Registration Number,Association Name,State,Cancellation Type,Cancellation Year
136550489,The Goat Trust,Uttar Pradesh,On Violation,2019
136470085,The Ayodhya Prasad Tripathi Educational Society,Uttar Pradesh,On Violation,2019
136550250,Swarnim Sansthan,Uttar Pradesh,On Violation,2019
136590017,Swami Vivekanand Bal Gyan Mandir,Uttar Pradesh,On Violation,2019
136390010,Suman Technical Institute,Uttar Pradesh,On Violation,2019
136390023,Subha Khadi Sewa Sansthan,Uttar Pradesh,On Violation,2019
136680003,St. Martin De Pores Hospital,Uttar Pradesh,On Violation,2019
136680002,St. Josephs Vocational & Industrial Society,Uttar Pradesh,On Violation,2019
136510035,St Michael Charitable Trust,Uttar Pradesh,On Violation,2019
136530098,SOPHIE JAN KALYAN SAMITI,Uttar Pradesh,On Violation,2019
136760235,Society for Educational Development And Environmental Research,Uttar Pradesh,On Violation,2019
136230089,Smt. Chandra Kumari Shikshan Samiti,Uttar Pradesh,On Violation,2019
137400001,Shri Sai Samiti Noida (regd.),Uttar Pradesh,On Violation,2019
136760207,Shri Sai Arun Samajik Vikash Evam Gramodyog Prashikshan Sansthan,Uttar Pradesh,On Violation,2019
136380030,Shri Rajmangal Seva Sansthan,Uttar Pradesh,On Violation,2019
136570066,SHRI RADHA DAMODAR SEWAASHRAM,Uttar Pradesh,On Violation,2019
136580059,SHRI MAD DAYANAND UTKARSH ARSH KANYA GURUKUL,Uttar Pradesh,On Violation,2019
136670040,SHIV NARAYAN SAMAJ SEWA KALYAN SAMITI,Uttar Pradesh,On Violation,2019
137420007,Shishu Shiksha Sadan Avam Primary Pathshala,Uttar Pradesh,On Violation,2019
136220025,Shiksha Vikas Sabha,Uttar Pradesh,On Violation,2019
136600072,Sharif Gramudyog Vikas Kendra,Uttar Pradesh,On Violation,2019
136230174,Shantiyodai Way,Uttar Pradesh,On Violation,2019
136760166,Shanti Niketan Jan Seva Samiti,Uttar Pradesh,On Violation,2019
137280019,Shakti Seva Sansthan,Uttar Pradesh,On Violation,2019
136690076,SH SIV MANDIR GORI SANKAR VISWNATH BAKUNT DHAM AND SAMSAN BUMI PRABNDAK SABA,Uttar Pradesh,On Violation,2019
136540012,SAURABH SEWA SANSTHAN,Uttar Pradesh,On Violation,2019
136670002,Satya Ahinsa Bal Vidyalaya Samiti,Uttar Pradesh,On Violation,2019
137230006,Samta Vikas Samiti,Uttar Pradesh,On Violation,2019
136760128,Sampooran Kshetra Vikas Samiti,Uttar Pradesh,On Violation,2019
136550234,Samajik Vikas Evam Computer Prashikshan Samiti,Uttar Pradesh,On Violation,2019
